Question number;Category;Subcategory;Number;Question;Option A;Option B;Option C;Correct answer;poznámky
625;Res;kri;6060408;Řidič vozidla z výhledu:;Může pokračovat v jízdě křižovatkou, dává znamení o změně směru včas a v dostatečné míře a je na hlavní pozemní komunikaci.;"Může pokračovat v jízdě křižovatkou; je v dostatečné vzdálenosti od křižovatky a na světelném signalizačním zařízení již svítí signál ""Připravit k jízdě"".";Nesmí pokračovat v jízdě křižovatkou. Má za povinnost zastavit vozidlo před příčnou čárou souvislou.;c;obrázek
953;Znak;slo;6060410;Tímto směrovým sloupkem může být:;Vymezeno místo, kde účelová pozemní komunikace (např. polní cesta) vyúsťuje na jinou pozemní komunikaci.;Označeno místo častých dopravních nehod.;Zvýrazněna či nahrazena vodorovná dopravní značka podélná čára souvislá.;a;obrázek
954;Znak;slo;6060411;Tento směrový sloupek:;Upozorňuje řidiče na nezpevněnou krajnici.;Vymezuje vyústění účelové pozemní komunikace na jinou pozemní komunikaci.;Označuje kluzký úsek pozemní komunikace, kde hrozí smyk vozidla.;b;obrázek
676;Res;neb;6060413;Řidič vozidla z výhledu:;Musí dát přednost v jízdě červenému vozidlu, protože toto vozidlo přijíždí zprava.;Nemusí dát přednost v jízdě červenému vozidlu jedoucímu zprava, protože toto vozidlo se pohybuje v přípojovacím pruhu.;Musí snížením rychlosti jízdy umožnit plynulou jízdu červenému vozidlu jedoucímu zprava.;b;obrázek
41;Bez;pre;6060414;Blížíte se k místu, kde si děti hrají na chodníku. Jak se musíte zachovat?;Podle okolností zpomalit jízdu a být připraven brzdit.;Pokračovat v jízdě stejnou rychlostí, abych neomezil vozidla za sebou.;Dát výstražné zvukové znamení a pokračovat v jízdě.;a;obrázek
1114;Znak;zak;6060415;Lze za nejbližší dopravní značkou zastavit za účelem neprodleného vystoupení přepravovaných osob?;Ano.;Ne.;;a;obrázek
1115;Znak;zak;6060416;Lze před nejbližší dopravní značkou zastavit za účelem neprodleného vyložení nákladu?;Ano.;Ne.;;b;obrázek
918;Znak;pok;6060418;Při tomto pokynu policisty je řidič:;"Povinen zastavit vozidlo, ať přijíždí z kteréhokoliv směru jízdy; odbočit vlevo je povolené.";Povinen připravit se k jízdě, pokud jede ze směru, pro který byl provoz předtím zastaven.;Oprávněn pokračovat v jízdě jen přímým směrem, bez možnosti odbočení.;b;obrázek
926;Znak;pri;6060419;Za první skupinou dopravních značek:;Musí řidič vozidla z výhledu na nejbližší křižovatce odbočit vpravo nebo vlevo.;Může řidič vozidla z výhledu pokračovat v jízdě v přímém směru, neohrozí-li řidiče jedoucího na křižovatce zleva.;Bude řidič vozidla z výhledu vjíždět na kruhový objezd.;a;obrázek
972;Znak;upr;6060420;Řidič vozidla z výhledu na vyobrazené křižovatce:;Musí dát přednost všem vozidlům přijíždějícím zprava i zleva.;Má přednost v jízdě před všemi vozidly, přesto ale musí přibrzdit před hranicí křižovatky a přesvědčit se, zda může křižovatkou bezpečně projet.;Musí dát přednost všem vozidlům přijíždějícím zprava.;c;obrázek
941;Znak;sem;6060465;"Na signál se zeleným plným kruhovým světlem ""Volno"":";Nesmíte odbočit vpravo, neboť uvedený signál platí pouze pro jízdu v přímém směru a odbočení neumožňuje.;Smíte odbočit vpravo, přičemž musíte dát přednost chodcům přecházejícím ve volném směru po přechodu pro chodce.;Smíte odbočit vpravo, přičemž chodci přecházející ve volném směru po přechodu pro chodce Vám musí dát přednost.;b;obrázek
1116;Znak;zak;6060472;Zákaz vjezdu podle vyobrazené dopravní značky platí pro:;Vozidla nebo soupravy vozidel, jejichž okamžitá délka včetně nákladu přesahuje vyznačenou mez.;Nákladní vozidla a jejich jízdní soupravy.;Dodávkové a nákladní automobily a jejich jízdní soupravy o nejvyšší povolené hmotnosti nepřevyšující 7000 kg.;a;obrázek
1117;Znak;zak;6060474;Tato značka zakazuje vjezd:;Všech vozidel, jejichž okamžitá hmotnost připadající na nápravu přesahuje údaj uvedený na značce.;Všech vozidel, jejichž okamžitá hmotnost připadající na nápravu nedosahuje údaj uvedený na značce.;Všech přípojných jednonápravových vozidel.;a;obrázek
1052;Znak;vys;6060475;Tato značka označuje:;Místo dopravní nehody.;Místo nebezpečí pádu vozidla z nezpevněné krajnice.;Úsek častých dopravních nehod.;a;obrázek
1118;Znak;zak;6060476;Vyobrazená dopravní značka:;Zakazuje vjezd ručních vozíků o okamžité šířce větší než 600 mm.;Zakazuje vjezd potahových vozidel.;Upozorňuje na práci na pozemní komunikaci kde jsou používány ruční pracovní stroje.;a;obrázek
942;Znak;sem;6060502;Jste řidičem vozidla z výhledu. Ve vyobrazené dopravní situaci:;Smíte odbočit vlevo, aniž byste někomu musel(a) dávat přednost.;"Nesmíte odbočit vlevo, neboť zelený plný kruhový světelný signál ""Volno"" umožňuje projet křižovatku pouze v přímém směru.";Smíte odbočit vlevo, ale musíte dát přednost chodcům přecházejícím ve volném směru po přechodu pro chodce.;c;obrázek
626;Res;kri;6060505;Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:;Musíte dát přednost v jízdě oběma přijíždějícím vozidlům. Jako první projede křižovatkou protijedoucí červený automobil.;Musíte dát přednost v jízdě protijedoucímu červenému vozidlu. Následně projedete před zeleným nákladním automobilem, který Vám musí dát přenost v jízdě.;Projedete křižovatkou současně s protijedoucím červeným vozidlem, před zeleným nákladním automobilem, který Vám musí dát přednost v jízdě.;a;obrázek
945;Znak;sem;8080008;Světelný ukazatel nad pozemní komunikací ukazuje:;Nejvyšší dovolenou rychlost jízdy pro daný jízdní pruh.;Nejvyšší okamžitou rychlost jízdy v daném jízdním pruhu.;Doporučenou rychlost jízdy pro daný jízdní pruh.;a;obrázek
534;Prav;sme;8080010;Na této frekventované pozemní komunikaci jste se zařadili do levého odbočovacího pruhu. Na křižovatce jste zjistili, že jste měli jet vpravo. Jak se zachováte?;Odbočíte vlevo a budete počítat se zajížďkou.;Zastavíte a pokusíte se couváním zařadit do správného odbočovacího pruhu.;Zvukovým výstražným znamením upozorníte ostatní řidiče, že odbočujete vpravo.;a;obrázek
535;Prav;sme;8080014;Může řidič vozidla z výhledu odbočit vpravo, aniž by porušil pravidla bezpečného provozu?;Ne, před křižovatkou se zařadil do jízdního pruhu, odkud nesmí odbočit směrem vpravo i když dává znamení o změně směru jízdy.;Ne, situace před vozidlem mu to nedovoluje kvůli odbočujícím vozidlům v protisměru.;"Ano, na světelném signalizačním zařízením je dán pokyn ""Volno"". Řidič může pokračovat v započatém jízdním úkonu.";a;obrázek
627;Res;kri;8080016;Můžete jako řidič vozidla z výhledu vjet do křižovatky?;Ne, řidiči ostatních vozidel musí umožnit jízdu vozidel s právem přednostní jízdy.;Ano, i řidič vozidla s právem přednostní jízdy je povinnen dát přednost vozidlům přijíždějícím zprava.;Ano, řidič vozidla, i když má za jízdy rozsvícené zvláštní výstražné světlo modré barvy, má povinnosti jako ostatní účastníci provozu na pozemních komunikacích.;a;obrázek
653;Res;neb;8080018;Jak se zachováte v této situaci?;"Situace je dostatečně přehledná a tak pojedu dál, i když svítí na světelném signalizačním zařízení signál ""Stůj"".";"Zastavím v takové vzdálenosti od signalizačního zařízení, abych umožnil průjezd případným protijedoucím vozidlům. Počkám na signál ""Volno"".";"Úsek projedu zvýšenou rychlostí. Žádné vozidlo v protisměru nejede. Nebudu čekat na signál ""Volno"".";b;obrázek
455;Prav;pra;8080020;Řidiči motorových vozidel mohou vjet do vyznačeného středního pruhu pozemní komunikace:;Kdykoliv, pokud tramvaj neomezí v jízdě nebo jej užít k předjíždění tramvaje, která stojí v zastávce.;Při předjíždění pomaleji jedoucích motorových vozidel, ale musí dávat včas znamení o změně směru jízdy.;Pouze tehdy, pokud je to nutné k objíždění, odbočování nebo vjíždění na pozemní komunikaci.;c;obrázek
587;Prav;sta;8080030;Na tomto místě může zastavit a stát:;Jen vozidlo, které přepravuje osobu těžce postiženou nebo těžce pohybově postiženou, které je označeno speciálním označením a příslušnou registrační značkou.;Vozidlo rodinných příslušníků osoby těžce postižené, které ale není označeno speciálním označením.;Pokud je parkovací místo volné, může zde zastavit a stát i jiné vozidlo s označením O1.;a;obrázek
946;Znak;sem;8080036;Světelný ukazatel nad pozemní komunikací ukazuje:;Nejvyšší dovolenou rychlost jízdy v daném úseku.;Nejnižší dovolenou rychlost jízdy v daném úseku.;Okamžitou rychlost jízdy vozidel, která projíždějí daným úsekem.;a;obrázek
927;Znak;pri;8100094;Která z vyobrazených dopravních značek neumožňuje řidiči, pokud to ostatní okolnosti provozu na pozemních komunikacích dovolují, jet rychlostí 25 km/h :;a);b);c);a;obrázek
1053;Znak;vys;8120015;Tato dopravní značka upozorňuje na:;Křižovatku, na které není přednost v jízdě upravena svislými dopravními značkami.;Křižovatku, na které je přednost v jízdě dále upravena svislými dopravními značkami.;Blízkost železničního přejezdu, který není opatřen železničním zabezpečovacím zařízením.;a;obrázek
973;Znak;upr;8120016;Řidič vozidla z výhledu:;Má přednost v jízdě před protijedoucími vozidly.;Nemá přednost v jízdě před protijedoucími vozidly.;Musí dodržovat označený směr jízdy.;a;obrázek
974;Znak;upr;8120017;Řidič vozidla z výhledu:;Musí dát přednost v jízdě vozidlu jedoucímu po kruhovém objezdu a jet ve směru šipek zobrazených na příkazové značce.;Má přednost v jízdě před vozidlem jedoucím po kruhovém objezdu pokud dává znamení o změně směru jízdy.;Musí vždy na hranici křižovatky zastavit vozidlo a dát přednost v jízdě vozidlu jedoucímu po kruhovém objezdu.;a;obrázek
919;Znak;pok;10040019;V dané situaci, mohou účastníci silničního provozu odbočovat?;pouze vpravo, dodrží-li ustanovení o odbočování.;pouze vlevo, dodrží-li ustanovení o odbočování.;vpravo i vlevo, dodrží-li ustanovení o odbočování.;c;obrázek
920;Znak;pok;10040020;Tento pokyn policisty znamená:;Stůj!;Volno;Pozor!;c;obrázek
975;Znak;upr;10040037;Na obrázku není znázorněna dopravní značka:;Přechod pro chodce.;Hlavní pozemní komunikace.;Dej přednost v jízdě, s dodatkovou tabulkou.;b;obrázek
628;Res;kri;10110001;Řidič vozidla z výhledu;projede křižovatkou jako poslední.;projede křižovatkou jako první.;dává přednost v jízdě oběma tramvajím.;b;obrázek
629;Res;kri;10110002;Řidič vozidla z výhledu;dává přednost v jízdě tramvaji č. 2.;dává přednost v jízdě oběma tramvajím.;projede křižovatkou jako první.;c;obrázek
630;Res;kri;10110003;Tramvaje č.1 a 2 projedou křižovatkou:;Obě současně jako první, spolu se zeleným nákladním automobilem.;Obě současně spolu se zeleným nákladním automobilem, po projetí vozidla z výhledu.;Obě současně jako druhé, po projetí zeleného nákladního automobilu.;b;obrázek
631;Res;kri;10110009;Řidič vozidla z výhledu;dává přednost v jízdě oběma tramvajím.;dává přednost v jízdě zelenému vozidlu.;projede křižovatkou jako první.;c;obrázek
632;Res;kri;10110010;Řidič vozidla z výhledu;projede křižovatkou jako první.;dává přednost v jízdě tramvaji č. 1.;projede křižovatkou jako poslední.;a;obrázek
633;Res;kri;10110011;Řidič vozidla z výhledu;dává přednost v jízdě tramvaji č. 2.;projede křižovatkou jako první.;dává přednost v jízdě tramvaji č. 1 a zelenému vozidlu.;b;obrázek
634;Res;kri;10110016;Jako první projede křižovatkou:;Vozidlo z výhledu.;Tramvaj č. 1 a 2.;Vozidlo z výhledu současně se zeleným vozidlem.;a;obrázek
635;Res;kri;10110027;Jako poslední projede křižovatkou;vozidlo z výhledu.;modré nákladní vozidlo.;žluté vozidlo.;c;obrázek
636;Res;kri;10110028;Vozidlo z výhledu projede křižovatkou:;jako druhé.;jako první.;jako poslední.;a;obrázek
637;Res;kri;10110043;Řidič vozidla z výhledu;projede křižovatkou jako první.;projede křižovatkou jako druhý.;projede křižovatkou současně se zeleným vozidlem.;b;obrázek
638;Res;kri;10110044;Řidič vozidla z výhledu;přijíždí do křižovatky po hlavní pozemní komunikaci.;přijíždí do křižovatky, kde není přednost v jízdě upravena svislými dopravními značkami.;přijíždí do křižovatky po vedlejší pozemní komunikaci.;b;obrázek
639;Res;kri;10110045;Na této křižovatce;je přednost v jízdě upravena svislými dopravními značkami.;není přednost v jízdě upravena svislými dopravními značkami.;má přednost v jízdě vozidlo z výhledu.;b;obrázek
640;Res;kri;11020032;Vozidlo z výhledu projede křižovatkou jako:;první.;druhé.;druhé, protože protijedoucí vozidlo odbočuje z hlavní pozemní komunikace na vedlejší a má přednost v jízdě.;a;obrázek
1054;Znak;vys;11040007;Tato značka upozorňuje:;Na změnu dopravního okruhu zřízeného pro objíždění obce nebo její části.;Na směr k výjezdu z kruhového parkoviště.;Na křižovatku s kruhovým objezdem.;c;obrázek
976;Znak;upr;15120002;Tato dopravní značka:;"Platí pro všechny následující křižovatky v přímém směru, pokud její platnost není ukončena dopravní značkou ""Hlavní pozemní komunikace"".";Platí jen pro nejbližší křižovatku.;Platí pro všechny křižovatky na území obce, které jsou označeny touto dopravní značkou.;b;obrázek
677;Res;neb;15120003;Na jakou situaci musím být připraven jako řidič červeného vozidla?;Projíždím úsekem, kde mohu předpokládat větší pohyb chodců, zejména je-li v blízkosti přijíždějící nebo odjíždějící tramvaj.;Projíždím úsekem, kde je dovolené parkování na chodníku a kde mohu předpokládat vjetí parkujícího vozidla do mé jízdní dráhy.;Projíždím úsekem, ve kterém se tramvaje pohybují zvýšenou rychlostí.;a;obrázek
1055;Znak;vys;15120004;Tato výstražná dopravní značka:;Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Upozorňuje na zatáčku (směrový oblouk) vlevo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Upozorňuje na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;c;obrázek
1056;Znak;vys;16010003;S čím musíte počítat v místě označeném touto dopravní značkou?;S cyklisty, kteří vjíždějí na vozovku nebo ji přejíždějí, anebo na úsek, kde se cyklisté často vyskytují.;S cyklistickými trasami v místě jejich vzájemného křížení.;S cyklisty čekajícími na světelný signál „Volno“.;a;obrázek
1057;Znak;vys;16010004;Co vám říká tato dopravní značka?;Upozorňuje na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Přikazuje jízdu ve směru vpravo bezprostředně před značkou.;Označuje zejména nebezpečnou zatáčku, v níž musí řidič výrazně snížit rychlost jízdy, a usměrňuje provoz.;a;obrázek
1058;Znak;vys;16010005;Co vám říká tato dopravní značka?;Upozorňuje na zatáčku (směrový oblouk) vlevo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Přikazuje jízdu ve směru vlevo bezprostředně před značkou.;Upozorňuje na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;a;obrázek
977;Znak;upr;16010007;Která z vyobrazených dopravních značek neupravuje přednost.;a);b);c);c;obrázek
978;Znak;upr;16010008;Která z vyobrazených dopravních značek neupravuje přednost.;a);b);c);c;obrázek
979;Znak;upr;16010009;Která z vyobrazených dopravních značek neupravuje přednost.;a);b);c);b;obrázek
1059;Znak;vys;16010010;Která značka nepatří do skupiny značek výstražných?;a);b);c);b;obrázek
980;Znak;upr;16010011;"Jestliže je vyobrazená dopravní značka umístěna na pozemní komunikaci u křižovatky a není doplněna vodorovnou příčnou čárou souvislou s nápisem ""STOP"":";Má řidič povinnost zastavit vozidlo před touto dopravní značkou a dát přednost v jízdě.;Má řidič povinnost zastavit vozidlo na takovém místě, odkud má do křižovatky náležitý rozhled, a dát přednost v jízdě.;Má řidič povinnost zastavit vozidlo na hranici křižovatky a dát přednost v jízdě.;b;obrázek
1119;Znak;upr;16010014;Tato dopravní značka upravuje:;Přednost před protijedoucími nákladními vozidly v případě, kdy se protijedoucí vozidla nemohou bezpečně vyhnout.;Přednost pro vozidla jedoucí ze směru označeného černou šipkou.;Přednost pro vozidla jedoucí ze směru označeného červenou šipkou.;b;obrázek
955;Znak;slo;21100003;Které směrové sloupky označují úsek pozemní komunikace, kde hrozí zvýšené nebezpečí námrazy:;modré;bílé;červené;a;obrázek
895;Znak;inf;21100006;Tato dopravní značka označuje:;parkoviště na kruhovém objezdu.;placené parkoviště s parkovacím automatem na mince.;parkoviště, na kterém řidič musí ve vozidle viditelně umístit kotouč nastavením začátku stání.;c;obrázek
896;Znak;inf;21100007;Toto označení:;informuje účastníky provozu o řízení vozidla méně zkušeným řidičem.;upozorňuje na povinnost označit vozidlo výstražným trojúhelníkem.;označuje prostor určený pro odkládání zavazadel ve vozidle hromadné dopravy.;a;obrázek
1120;Znak;zak;21100008;Do oblasti za těmito dopravními značkami:;je možné vjet za účelem parkování vozidla.;je možné vjet za účelem zkrácení si cesty.;je zakázáno vjet.;a;obrázek
545;Prav;sme;21100009;Řidič vozidla z výhledu při objíždění označené překážky v provozu:;nesmí omezit cyklistu jedoucího ve vyhrazeném jízdním pruhu.;může omezit cyklistu jedoucího ve vyhrazeném jízdním pruhu.;;a;obrázek
947;Znak;sem;21100010;Na uvedené křižovatce řidič vozidla z výhledu:;Smí odbočit vpravo, přitom musí dát přednost v jízdě vozidlům a jezdcům na zvířatech jedoucím ve volném směru a útvarům chodců jdoucím ve volném směru.;Je doplňkovou zelenou šipkou informován o přednosti v jízdě vozidel přijíždějících zprava.;Nemusí se při odbočení vpravo řídit světelnými signály, neboť těmto je nadřazena přenosná svislá dopravní značka „Práce na silnici“, která informuje o poruše světelných signálů.;a;obrázek
19;Bez;ost;21100011;Řidič vozidla z výhledu hodlá na nejbližší křižovatce odbočit vpravo. Za této situace:;Řidič nesmí ohrozit cyklistu přejíždějícího pozemní komunikaci na přejezdu pro cyklisty;Řidič nesmí omezit cyklistu přejíždějícího pozemní komunikaci na přejezdu pro cyklisty;;a;obrázek
755;Souv;pru;21100012;Smí řidič motorového vozidla, který není držitelem platného parkovacího oprávnění pro danou oblast, zaparkovat za touto dopravní značkou v sobotu v poledne?;Ano, bezplatně.;Ano, pokud uhradí parkovné.;Ne.;a;obrázek
641;Res;kri;21100013;Řidič vozidla z výhledu se chystá odbočit vlevo. Musí dát přednost v jízdě tramvaji?;Ne.;Ano.;;a;obrázek
700;Souv;mir;21100014;Technickou silniční kontrolou se mimo jiné rozumí kontrola technického stavu vozidla. Řidič motorového vozidla je povinen:;Na výzvu policisty podrobit vozidlo technické silniční kontrole, pouze pokud uplynula doba 1 roku od řádné technické prohlídky vozidla.;Na výzvu policisty podrobit vozidlo technické silniční kontrole.;Na výzvu policisty podrobit vozidlo technické silniční kontrole v případě, kdy vozidlo vykazuje nebezpečnou závadu.;b;obrázek
1121;Znak;upr;21100015;Tato dopravní značka:;Přikazuje řidiči dát přednost v jízdě protijedoucím vozidlům.;Informuje řidiče o přednosti v jízdě před protijedoucími vozidly.;Zakazuje vjezd více jak dvou vozidel v jednom směru jízdy.;a;obrázek
981;Znak;upr;21100016;Řidič vozidla z výhledu odbočující na křižovatce vlevo:;Musí dát přednost v jízdě vozidlům přijíždějícím zprava, přitom nemá povinnost přizpůsobit rychlost jízdy okolnostem, které je možné předvídat.;Musí dát přednost v jízdě vozidlům přijíždějícím zprava a přizpůsobit rychlost jízdy okolnostem, které je možné předvídat, zejména možnosti smyku na zasněžené vozovce a případné tvorbě náledí na mostu.;Má přednost v jízdě před ostatními vozidly, přitom musí přizpůsobit rychlost jízdy okolnostem, které je možné předvídat, zejména možnosti smyku na zasněžené vozovce a případné tvorbě náledí na mostu.;b;obrázek
982;Znak;upr;21100017;Řidič vozidla z výhledu odbočující na křižovatce vlevo:;Má přednost v jízdě před ostatními vozidly, přitom není povinen dát znamení o změně směru jízdy vlevo, protože projíždí křižovatkou po hlavní pozemní komunikaci, přitom musí přizpůsobit rychlost jízdy okolnostem, které je možné předvídat, zejména riziku smyku na zasněžené vozovce.;Má přednost v jízdě před ostatními vozidly, přitom musí přizpůsobit rychlost jízdy okolnostem, které je možné předvídat, zejména riziku smyku na zasněžené vozovce. Přitom dává znamení o změně směru jízdy vlevo.;Musí dát přednost v jízdě protijedoucím vozidlům, přitom musí přizpůsobit rychlost jízdy okolnostem, které je možné předvídat, zejména riziku smyku na zasněžené vozovce.;b;obrázek
897;Znak;inf;21100018;Jakou rychlostí můžete jet v obci jako řidič osobního automobilu z výhledu na vyobrazené situaci za nejbližší informativní značkou zónovou;80 km/h;110 km/h;50 km/h;a;obrázek
991;Znak;vod;21100019;Co znázorňuje vodorovná dopravní značka na obrázku?;Pruh nebo stezku pro cyklisty.;Přejezd pro cyklisty.;Prostor určený pro cyklisty čekající na světelný signál „Volno“.;c;obrázek
458;Prav;pra;21100020;Ve zřízeném prostoru pro cyklisty na křižovatce se světelnými signály se mohou řadit pouze:;motocyklisté a cyklisté.;cyklisté.;potahová vozidla a cyklisté.;b;obrázek
992;Znak;vod;21100021;Co znázorňuje vodorovná dopravní značka na obrázku?;Piktogramový koridor pro cyklisty.;Jízdní pruh pro cyklisty.;Prostor pro cyklisty.;b;obrázek
993;Znak;vod;21100022;V úseku pozemní komunikace, který následuje za touto svislou dopravní značkou, jako řidič motorového vozidla;smíte zastavit a stát ve vyhrazeném jízdním pruhu pro cyklisty.;nesmíte zastavit a stát ve vyhrazeném jízdním pruhu pro cyklisty.;smíte ve vyhrazeném jízdním pruhu pro cyklisty zastavit na dobu nezbytně nutnou k neprodlenému nastoupení nebo vystoupení přepravovaných osob, anebo k neprodlenému naložení nebo složení nákladu.;b;obrázek
948;Znak;sem;21100023;Řidič osobního vozidla odbočujícího ve vyobrazené situaci vlevo:;musí dát přednost v jízdě pouze protijedoucí tramvaji.;má přednost v jízdě před tramvajemi v obou směrech.;musí dát přednost v jízdě tramvajím v obou směrech.;c;obrázek
949;Znak;sem;21100024;Řidič vozidla z výhledu v této dopravní situaci:;může projet křižovatkou.;musí zastavit vozidlo v místě, odkud má náležitý rozhled do křižovatky.;musí zastavit vozidlo před příčnou čárou souvislou.;a;obrázek
546;Prav;sme;21100025;Řidič vozidla z výhledu hodlá pokračovat v jízdě po hlavní pozemní komunikaci. Přitom:;musí dát znamení o změně směru jízdy vlevo.;musí dát znamení o změně směru jízdy vpravo.;nemusí dát znamení o změně směru jízdy.;a;obrázek
928;Znak;pri;21100026;Na vyobrazeném místě musí řidič:;odbočit vlevo, přičemž musí dát přednost vozidlům přijíždějícím zprava.;odbočit vlevo, přičemž má přednost před vozidly přijíždějícími zprava.;odbočit vpravo, přičemž má přednost před vozidly přijíždějícími zleva.;a;obrázek
678;Res;neb;21100027;Ve vyobrazené situaci řidič vozidla z výhledu vpravo:;smí zastavit.;nesmí zastavit a stát.;smí stát.;b;obrázek
20;Bez;ost;21100028;Řidič vozidla z výhledu je povinen v této situaci;sledovat pouze přechod pro chodce, vozidla přijíždějící zprava musí dát přednost jemu.;sledovat přechod pro chodce a vozidla přijíždějící zprava, kterým musí dát přednost.;odbočit vpravo.;b;obrázek
47;Bez;pre;21100029;Smí řidič z výhledu zastavit vozidlo na přechodu pro chodce, aby měl náležitý výhled do křižovatky?;ano;ne;;a;obrázek
642;Res;kri;21100030;Řidič vozidla z výhledu hodlá odbočit vlevo. V jakém pořadí projedou vozidla touto křižovatkou?;vozidlo z výhledu, tramvaj.;tramvaj, vozidlo z výhledu.;obě vozidla mohou projet současně.;b;obrázek
898;Znak;inf;21100031;Za vyobrazenou dopravní značkou se můžete jako řidič motorového vozidla setkat;s cyklisty v protisměru, kteří vedou kolo.;s jízdou cyklistů v protisměru, které nesmíte ohrozit.;s jízdou cyklistů v protisměru, kterým musíte dát přednost.;b;obrázek
994;Znak;vod;21100032;S čím jako řidič motorového vozidla musíte počítat v místech označených touto vodorovnou dopravní značkou?;"S blížícím se prostorem určeným pro cyklisty čekající na světelný signál ""volno"".";S blížícím se přejezdem pro cyklisty.;Se zvýšeným provozem cyklistů.;c;obrázek
899;Znak;inf;21100033;Co znázorňuje tato informativní směrová značka?;Směrová tabulka pro cyklisty informuje o čísle cyklistické trasy.;Dopravní značka označuje cyklostezku.;Směrová tabulka označuje jízdní pruh pro cyklisty a jeho číslo.;a;obrázek
880;Voz;sve;21100034;Do úseku pozemní komunikace za touto dopravní značkou můžete jako řidič motorového vozidla s maximální přípustnou hmotností nepřevyšující 3500 kg, jet jen v případě, že použijete zimní pneumatiky s hloubkou dezénu hlavních dezénových drážek nebo zářezů nejméně;4 mm, a to v období od 1. listopadu do 31. března.;4 mm, a to bez ohledu na datum a aktuální nebo předpokládané povětrnostní podmínky.;2 mm, a to bez ohledu na datum a aktuální nebo předpokládané povětrnostní podmínky.;b;obrázek
881;Voz;sve;21100035;Jakou minimální hloubku hlavních dezénových drážek nebo zářezů u zimních pneumatik musí mít řidič vozidla do 3500 kg celkové hmotnosti za touto dopravní značkou?;4 mm, a to bez ohledu na datum a aktuální nebo předpokládané povětrnostní podmínky.;4 mm, a to v období od 1. listopadu do 31. března.;1,6 mm, a to v období od 1. dubna do 31. října.;a;obrázek
956;Znak;slo;22020004;Vyobrazený směrový sloupek:;označuje okraj pozemní komunikace;vyznačuje vyústění účelové komunikace na jinou pozemní komunikaci;se používá při usměrňování provozu a pro zdůraznění podélné čáry souvislé vodorovného dopravního značení;b;obrázek
1122;Znak;zak;22020005;Řidič osobního automobilu na nejbližší křižovatce:;nesmí odbočit vpravo;může odbočit vpravo;musí odbočit vpravo;b;obrázek
643;Res;kri;22020006;Jak se zachováte jako řidič vozidla z výhledu na následující křižovatce?;Dám přednost v jízdě pouze vozidlům na hlavní pozemní komunikaci;Dám přednost zprava červenému vozidlu.;Mám přednost před červeným vozidlem, protože na vedlejší komunikaci zprava je značka Stůj, dej přednost v jízdě!;b;obrázek
644;Res;kri;22020007;Jak se zachováte na následující křižovatce jako řidič vozidla z výhledu, který odbočuje vlevo?;Dám přednost v jízdě vozidlům na hlavní pozemní komunikaci a poté odbočím vlevo před protijedoucím modrým vozidlem.;Křižovatkou projedu jako poslední.;Dám přednost v jízdě vozidlům na hlavní pozemní komunikaci a modrému protijedoucímu vozidlu.;a;obrázek
1060;Znak;vys;22020008;Tato dopravní značka:;určuje povinnost dát přednost v jízdě vozidlům na hlavní pozemní komunikaci.;přikazuje řidiči dát přednost vozidlům připojujícím se zprava.;neexistuje.;c;obrázek
344;Prav;mhd;22020010;Řidič vozidla z výhledu:;porušuje předpisy tím, že objíždí autobus po tramvajovém pásu.;"nesmí objíždět autobus; zastaví za ním a vyčká jeho odjezdu ze zastávky.";musí předpokládat nečekané vběhnutí chodce do vozovky v místě zastávky autobusu.;c;obrázek
984;Znak;upr;22020011;Od místa vyobrazených dopravních značek platí že:;řidič může jet rychlostí nejvýše 100 km/h, neboť ve vzdálenosti 1000 m probíhá práce na silnici.;řidič může jet rychlostí nejvýše 110 km/h, až do místa, kde probíhá práce na silnici.;;a;obrázek
950;Znak;sem;22020012;Signál žlutého světla ve tvaru chodce pro řidiče vozidla z výhledu znamená, že:;pokud pokračuje v přímém směru musí umožnit vyobrazenému chodci přejít přes přechod pro chodce.;může nerušeně a bezpečně odbočit, neboť chodci na uvedený signál nesmí vstupovat do vozovky.;při odbočení vpravo křižuje směr chůze přecházejících chodců.;c;obrázek
995;Znak;vod;22020013;"Může řidič vjet do prostoru označeného vodorovnou dopravní značkou ""Žluté zkřížené čáry"", pokud mu dopravní situace za touto plochou neumožňuje pokračovat v jízdě?";Ne.;Ano.;Ano, pokud nebude bránit v jízdě jiným vozidlům.;a;obrázek
1123;Znak;zak;22020014;"Jak může být ukončena platnost svislé dopravní značky B 20a ""Nejvyšší dovolená rychlost""?";Nejbližší křižovatkou.;Vyústěním polní nebo lesní cesty.;Po ujetí délky úseku 80 m.;a;obrázek
